
John;Doe;“Lviv, Kleparivska 35, 4”;500.0;2022-27-01;1234567;Water
John;Asd;“Lviv, Kleparivska 35, 4”;500.0;2022-27-01;1234567;Water
Asd;Doe;“Lviv, Kleparivska 35, 4”;500.0;2022-27-01;1234567;Water
Asd;Asd;“Lviv, Kleparivska 35, 4”;500.0;2022-27-01;1234567;Water
John;Doe;“Lviv, Kleparivska 35, 4”;500.0;2022-27-01;1234567;Water1
John;Asd;“Lviv, Kleparivska 35, 4”;500.0;2022-27-01;1234567;Water1
Asd;Doe;“Lviv, Kleparivska 35, 4”;500.0;2022-27-01;1234567;Water1
Asd;Asd;“Lviv, Kleparivska 35, 4”;500.0;2022-27-01;1234567;Water1
John;Doe;“Kiev, Kleparivska 35, 4”;500.0;2022-27-01;1234567;Water1
John;Asd;“Kiev, Kleparivska 35, 4”;500.0;2022-27-01;1234567;Water1
Asd;Doe;vKiev, Kleparivska 35, 4”;500.0;2022-27-01;1234567;Water1
Asd;Asd;“Kiev, Kleparivska 35, 4”;500.0;2022-27-01;1234567;Water1
John;Doe;“Kharkiv, Kleparivska 35, 4”;500.0;2022-27-01;1234567;Water2
John;Asd;“Kharkiv, Kleparivska 35, 4”;500.0;2022-27-01;1234567;Water2
Asd;Doe;“Kharkiv, Kleparivska 35, 4”;500.0;2022-27-01;1234567;Water2
Asd;Asd;“Kharkiv, Kleparivska 35, 4”;500.0;2022-27-01;1234567;Water2
